,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta
0,0,2020-01-24,2,0,0,2,2,0
1,1,2020-01-25,1,0,0,3,3,0
2,2,2020-01-26,0,0,0,3,3,0
3,3,2020-01-27,0,0,0,3,3,0
4,4,2020-01-28,1,0,0,4,4,0
5,5,2020-01-29,1,0,0,5,5,0
6,6,2020-01-30,0,0,0,5,5,0
7,7,2020-01-31,0,0,0,5,5,0
8,8,2020-02-01,1,0,0,6,6,0
9,9,2020-02-02,0,0,0,6,6,0
10,10,2020-02-03,0,0,0,6,6,0
11,11,2020-02-04,0,0,0,6,6,0
12,12,2020-02-05,0,0,0,6,6,0
13,13,2020-02-06,0,0,0,6,6,0
14,14,2020-02-07,0,0,0,6,6,0
15,15,2020-02-08,5,0,0,11,11,0
16,16,2020-02-09,0,0,0,11,11,0
17,17,2020-02-10,0,0,0,11,11,0
18,18,2020-02-11,0,0,0,11,11,0
19,19,2020-02-12,0,0,2,11,9,-2
20,20,2020-02-13,0,0,0,11,9,-2
21,21,2020-02-14,0,0,0,11,9,-2
22,22,2020-02-15,1,1,2,12,7,-5
23,23,2020-02-16,0,0,0,12,7,-5
24,24,2020-02-17,0,0,0,12,7,-5
25,25,2020-02-18,0,0,0,12,7,-5
26,26,2020-02-19,0,0,0,12,7,-5
27,27,2020-02-20,0,0,0,12,7,-5
28,28,2020-02-21,0,0,0,12,7,-5
29,29,2020-02-22,0,0,0,12,7,-5
30,30,2020-02-23,0,0,0,12,7,-5
31,31,2020-02-24,0,0,0,12,7,-5
32,32,2020-02-25,2,0,7,14,2,-12
33,33,2020-02-26,4,1,0,18,5,-13
34,34,2020-02-27,20,0,0,38,25,-13
35,35,2020-02-28,19,0,0,57,44,-13
36,36,2020-02-29,43,0,1,100,86,-14
37,37,2020-03-01,30,0,0,130,116,-14
38,38,2020-03-02,61,1,0,191,176,-15
39,39,2020-03-03,13,1,0,204,188,-16
40,40,2020-03-04,81,0,0,285,269,-16
41,41,2020-03-05,92,2,0,377,359,-18
42,42,2020-03-06,276,3,0,653,632,-21
43,43,2020-03-07,296,2,0,949,926,-23
44,44,2020-03-08,177,8,0,1126,1095,-31
45,45,2020-03-09,83,0,0,1209,1178,-31
46,46,2020-03-10,575,14,0,1784,1739,-45
47,47,2020-03-11,500,15,0,2284,2224,-60
48,48,2020-03-12,0,0,0,2284,2224,-60
49,49,2020-03-13,1383,31,0,3667,3576,-91
50,50,2020-03-14,813,12,0,4480,4377,-103
51,51,2020-03-15,33,0,0,4513,4410,-103
52,52,2020-03-16,2137,57,0,6650,6490,-160
53,53,2020-03-17,1033,0,0,7683,7523,-160
54,54,2020-03-18,1369,0,0,9052,8892,-160
55,55,2020-03-19,1834,95,0,10886,10631,-255
56,56,2020-03-20,1746,207,0,12632,12170,-462
57,57,2020-03-21,1676,112,0,14308,13734,-574
58,58,2020-03-22,1906,114,2189,16214,13337,-2877
59,59,2020-03-23,3909,186,6,20123,17054,-3069
60,60,2020-03-24,2499,240,1081,22622,18232,-4390
61,61,2020-03-25,2978,231,619,25600,20360,-5240
62,62,2020-03-26,3951,365,1048,29551,22898,-6653
63,63,2020-03-27,3851,299,752,33402,25698,-7704
64,64,2020-03-28,4703,320,17,38105,30064,-8041
65,65,2020-03-29,2603,294,1502,40708,30871,-9837
66,66,2020-03-30,4462,419,738,45170,34176,-10994
67,67,2020-03-31,7657,502,1549,52827,39782,-13045
68,68,2020-04-01,4922,511,1540,57749,42653,-15096
69,69,2020-04-02,2180,1355,1495,59929,41983,-17946
70,70,2020-04-03,5273,1122,1587,65202,44547,-20655
71,71,2020-04-04,25646,1054,1437,90848,67702,-23146
72,72,2020-04-05,2925,519,777,93773,69331,-24442
73,73,2020-04-06,5190,833,1079,98963,72609,-26354
74,74,2020-04-07,11102,1417,2095,110065,80199,-29866
75,75,2020-04-08,3894,544,1929,113959,81620,-32339
76,76,2020-04-09,4822,1341,1961,118781,83140,-35641
77,77,2020-04-10,7150,987,1782,125931,87521,-38410
78,78,2020-04-11,4796,636,1468,130727,90213,-40514
79,79,2020-04-12,2943,561,806,133670,91789,-41881
80,80,2020-04-13,4205,574,532,137875,94888,-42987
81,81,2020-04-14,-6514,762,1097,131361,86515,-44846
82,82,2020-04-15,3221,1440,2372,134582,85924,-48658
83,83,2020-04-16,12509,753,1857,147091,95823,-51268
84,84,2020-04-17,2039,762,1679,149130,95421,-53709
85,85,2020-04-18,19,642,1581,149149,93217,-55932
86,86,2020-04-19,4948,399,596,154097,97170,-56927
87,87,2020-04-20,2383,548,853,156480,98152,-58328
88,88,2020-04-21,2817,537,1783,159297,98649,-60648
89,89,2020-04-22,-2172,544,1507,157125,94426,-62699
90,90,2020-04-23,2335,516,1436,159460,94809,-64651
91,91,2020-04-24,492,390,1509,159952,93402,-66550
92,92,2020-04-25,1692,369,1101,161644,93624,-68020
93,93,2020-04-26,576,242,309,162220,93649,-68571
94,94,2020-04-27,3743,437,612,165963,96343,-69620
95,95,2020-04-28,3090,367,1482,169053,97584,-71469
96,96,2020-04-29,-2510,427,1343,166543,93304,-73239
97,97,2020-04-30,756,289,1262,167299,92509,-74790
98,98,2020-05-01,6,218,744,167305,91553,-75752
99,99,2020-05-02,1213,135,-461,168518,93092,-75426
100,100,2020-05-03,407,137,222,168925,93140,-75785
101,101,2020-05-04,658,304,591,169583,92903,-76680
